"omission_code","severity","description","run_id","case_id","model_slot","condition"
"U08",2,"Failed controls omitted: GENERAL-F2015-013, GENERAL-F2015-014, GENERAL-F2015-015, GENERAL-F2015-016","G3_ERBB-P04_C1_R01","ERBB-P04","G3","C1"
"U08",2,"Failed controls omitted: GENERAL-F2015-013, GENERAL-F2015-014, GENERAL-F2015-015, GENERAL-F2015-016","G3_ERBB-P04_C2_R01","ERBB-P04","G3","C2"
"U08",2,"Failed controls omitted: GENERAL-F2015-013, GENERAL-F2015-014, GENERAL-F2015-015, GENERAL-F2015-016","M2_ERBB-P04_C1_R01","ERBB-P04","M2","C1"
"U08",2,"Failed controls omitted: GENERAL-F2015-013, GENERAL-F2015-014, GENERAL-F2015-015, GENERAL-F2015-016","M2_ERBB-P04_C2_R01","ERBB-P04","M2","C2"
"U08",2,"Failed controls omitted: GENERAL-F2015-013, GENERAL-F2015-014, GENERAL-F2015-015, GENERAL-F2015-016","M3_ERBB-P04_C1_R01","ERBB-P04","M3","C1"
"U08",2,"Failed controls omitted: GENERAL-F2015-013, GENERAL-F2015-014, GENERAL-F2015-015, GENERAL-F2015-016","M3_ERBB-P04_C2_R01","ERBB-P04","M3","C2"
