run_id,blind_id,model_slot,provider,model_id,condition,repetition,automated_points_obtained,automated_points_possible,automated_accuracy,preventive_actions_score,traceability_coherence_score,manual_points_obtained,manual_points_possible,total_points_obtained,total_points_possible,total_accuracy,unsafe_assessment,preventive_omission
O3_ERBB-P02_C3_R01,ADJ002,O3,OpenAI,gpt-5.4-nano,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0
M3_ERBB-P02_C3_R01,ADJ006,M3,Mistral,ministral-8b-latest,C3,R01,82.0,82.0,100.0,0.0,4.0,4.0,18,86.0,100.0,86.0,0.0,0.0
M2_ERBB-P02_C2_R01,ADJ009,M2,Mistral,mistral-small-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0
O2_ERBB-P02_C2_R01,ADJ013,O2,OpenAI,gpt-5.4-mini,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
M1_ERBB-P02_C1_R01,ADJ015,M1,Mistral,mistral-large-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
O3_ERBB-P02_C2_R01,ADJ016,O3,OpenAI,gpt-5.4-nano,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
G1_ERBB-P02_C1_R01,ADJ018,G1,Google_Gemini,gemini-3.7-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O2_ERBB-P02_C1_R01,ADJ019,O2,OpenAI,gpt-5.4-mini,C1,R01,16.0,82.0,19.5121951219512,0.0,0.0,0.0,18,16.0,100.0,16.0,0.0,1.0
O1_ERBB-P02_C2_R01,ADJ020,O1,OpenAI,gpt-5.6-sol,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
A1_ERBB-P02_C3_R01,ADJ021,A1,Anthropic,claude-sonnet-5,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0
M3_ERBB-P02_C2_R01,ADJ022,M3,Mistral,ministral-8b-latest,C2,R01,20.0,82.0,24.390243902439,0.0,0.0,0.0,18,20.0,100.0,20.0,0.0,1.0
M2_ERBB-P02_C3_R01,ADJ024,M2,Mistral,mistral-small-latest,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0
G2_ERBB-P02_C3_R01,ADJ025,G2,Google_Gemini,gemini-3.5-flash,C3,R01,74.0,82.0,90.2439024390244,5.0,4.0,9.0,18,83.0,100.0,83.0,0.0,0.0
A1_ERBB-P02_C2_R01,ADJ028,A1,Anthropic,claude-sonnet-5,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
A3_ERBB-P02_C3_R01,ADJ030,A3,Anthropic,claude-haiku-4-5-20251001,C3,R01,82.0,82.0,100.0,5.0,8.0,13.0,18,95.0,100.0,95.0,0.0,0.0
M3_ERBB-P02_C1_R01,ADJ032,M3,Mistral,ministral-8b-latest,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
G3_ERBB-P02_C2_R01,ADJ035,G3,Google_Gemini,gemini-3.1-flash-lite,C2,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
G3_ERBB-P02_C1_R01,ADJ041,G3,Google_Gemini,gemini-3.1-flash-lite,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O1_ERBB-P02_C1_R01,ADJ043,O1,OpenAI,gpt-5.6-sol,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O1_ERBB-P02_C3_R01,ADJ045,O1,OpenAI,gpt-5.6-sol,C3,R01,82.0,82.0,100.0,5.0,4.0,9.0,18,91.0,100.0,91.0,0.0,0.0
A3_ERBB-P02_C1_R01,ADJ054,A3,Anthropic,claude-haiku-4-5-20251001,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
O3_ERBB-P02_C1_R01,ADJ055,O3,OpenAI,gpt-5.4-nano,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
G2_ERBB-P02_C1_R01,ADJ056,G2,Google_Gemini,gemini-3.5-flash,C1,R01,16.0,82.0,19.5121951219512,0.0,4.0,4.0,18,20.0,100.0,20.0,0.0,1.0
